timestamp,length,direction,src_ip,dst_ip,relative_time
1760125342.520578,66,outgoing,192.168.202.136,64.65.63.15,237.96129870414734
1760125342.521793,602,outgoing,192.168.202.136,64.65.63.15,237.96251368522644
1760125342.5429542,66,incoming,64.65.63.15,192.168.202.136,237.98367500305176
1760125342.8514204,602,incoming,64.65.63.15,192.168.202.136,238.29214119911194
1760125342.8528798,602,outgoing,192.168.202.136,64.65.63.15,238.29360055923462
1760125342.878655,66,incoming,64.65.63.15,192.168.202.136,238.3193757534027
1760125343.1896467,602,incoming,64.65.63.15,192.168.202.136,238.6303675174713
1760125343.230513,66,outgoing,192.168.202.136,64.65.63.15,238.6712338924408
1760125343.9420772,602,incoming,185.220.101.106,192.168.202.136,239.38279795646667
1760125343.9424245,66,outgoing,192.168.202.136,185.220.101.106,239.38314533233643
1760125346.0058439,602,incoming,64.65.63.15,192.168.202.136,241.44656467437744
1760125346.0060122,66,outgoing,192.168.202.136,64.65.63.15,241.4467329978943
1760125347.2207787,602,outgoing,192.168.202.136,64.65.63.15,242.66149950027466
1760125347.2366834,66,incoming,64.65.63.15,192.168.202.136,242.67740416526794
1760125350.7115548,66,incoming,45.11.59.28,192.168.202.136,246.15227556228638
1760125350.7120898,90,outgoing,192.168.202.136,45.11.59.28,246.15281057357788
1760125350.7121682,66,outgoing,192.168.202.136,45.11.59.28,246.1528890132904
1760125350.7336695,66,incoming,45.11.59.28,192.168.202.136,246.17439031600952
1760125350.73367,66,incoming,45.11.59.28,192.168.202.136,246.17439079284668
1760125351.07323,602,incoming,185.220.101.106,192.168.202.136,246.51395082473755
1760125351.0733643,66,outgoing,192.168.202.136,185.220.101.106,246.51408505439758
1760125353.2665586,602,outgoing,192.168.202.136,64.65.63.15,248.70727944374084
1760125353.2829254,66,incoming,64.65.63.15,192.168.202.136,248.72364616394043
1760125353.5469224,602,incoming,64.65.63.15,192.168.202.136,248.98764324188232
1760125353.5471137,66,outgoing,192.168.202.136,64.65.63.15,248.98783445358276
1760125353.5488718,602,outgoing,192.168.202.136,64.65.63.15,248.98959255218506
