length,relative_time,label,is_outgoing
1401,270.41619753837585,0,0
66,270.4162232875824,0,1
405,270.4222867488861,0,0
1401,270.4257254600525,0,0
66,270.4257688522339,0,1
1406,270.4260303974152,0,1
1401,270.4261291027069,0,0
2746,270.4283561706543,0,1
1401,270.43528842926025,0,0
760,270.43531489372253,0,1
1401,270.4355709552765,0,0
2736,270.4370441436768,0,0
66,270.43708062171936,0,1
2736,270.4390425682068,0,0
66,270.43910026550293,0,1
2746,270.4403591156006,0,1
1406,270.4403700828552,0,1
1401,270.44068002700806,0,0
1401,270.44105982780457,0,0
66,270.4411053657532,0,1
1406,270.44217467308044,0,1
1401,270.44300961494446,0,0
1406,270.4435269832611,0,1
2736,270.4443578720093,0,0
66,270.4444842338562,0,1
1401,270.4460356235504,0,0
454,270.44840955734253,0,0
66,270.4484305381775,0,1
1406,270.448548078537,0,1
66,270.4490098953247,0,0
66,270.4584836959839,0,0
66,270.45848393440247,0,0
896,270.4586343765259,0,1
66,270.46206498146057,0,0
1401,270.4671282768249,0,0
1401,270.4673159122467,0,0
66,270.4673364162445,0,1
292,270.46811747550964,0,0
1406,270.4877231121063,0,1
66,270.49045038223267,0,0
826,270.49049282073975,0,1
66,270.5085291862488,0,0
1116,270.50856351852417,0,1
1406,270.5169723033905,0,1
1401,270.5372335910797,0,0
312,270.53726410865784,0,1
179,270.5373010635376,0,0
66,270.55813002586365,0,0
602,270.55816555023193,0,1
66,270.63037276268005,0,0
2736,270.64666295051575,0,0
66,270.64693307876587,0,1
1401,270.6476171016693,0,0
1401,270.64851689338684,0,0
66,270.64860558509827,0,1
1401,270.65026473999023,0,0
1401,270.6505289077759,0,0
66,270.6505687236786,0,1
2736,270.6533226966858,0,0
66,270.6534707546234,0,1
970,270.65630412101746,0,0
602,270.6594431400299,0,1
1401,270.6665852069855,0,0
1401,270.66672229766846,0,0
66,270.66675066947937,0,1
1401,270.66742038726807,0,0
1401,270.66768050193787,0,0
66,270.6677055358887,0,1
2736,270.67073678970337,0,0
66,270.6708071231842,0,1
1401,270.67214369773865,0,0
1401,270.6725492477417,0,0
66,270.6726336479187,0,1
1401,270.6743071079254,0,0
1401,270.67453265190125,0,0
66,270.67459297180176,0,1
1401,270.6761763095856,0,0
1401,270.6762616634369,0,0
66,270.6762840747833,0,1
1406,270.6774959564209,0,1
1401,270.6819851398468,0,0
2736,270.68249559402466,0,0
1401,270.68257308006287,0,0
66,270.68261551856995,0,1
934,270.6827030181885,0,0
870,270.68271374702454,0,1
1406,270.6852536201477,0,1
1401,270.6986372470856,0,0
1401,270.69875621795654,0,0
66,270.69881868362427,0,1
2736,270.7002146244049,0,0
66,270.7002580165863,0,1
1401,270.7010383605957,0,0
1401,270.701730966568,0,0
66,270.701762676239,0,1
1401,270.7033200263977,0,0
312,270.7033517360687,0,1
1401,270.7036776542664,0,0
1401,270.70551800727844,0,0
66,270.70556473731995,0,1
1401,270.70567631721497,0,0
2644,270.711042881012,0,0
66,270.7111346721649,0,1
1401,270.711886882782,0,0
1401,270.7121558189392,0,0
66,270.7121992111206,0,1
1401,270.7206902503968,0,0
1401,270.7208640575409,0,0
66,270.7208847999573,0,1
1401,270.72143816947937,0,0
1406,270.72279715538025,0,1
2736,270.7234923839569,0,0
66,270.7235584259033,0,1
1401,270.72485518455505,0,0
870,270.72487807273865,0,1
1401,270.7258372306824,0,0
1401,270.7282130718231,0,0
66,270.7282295227051,0,1
1406,270.72850728034973,0,1
1401,270.729065656662,0,0
1401,270.7293109893799,0,0
66,270.7295024394989,0,1
1401,270.73075699806213,0,0
1401,270.73232984542847,0,0
66,270.73240065574646,0,1
200,270.73534655570984,0,0
1401,270.7426300048828,0,0
66,270.74267172813416,0,1
4071,270.7429823875427,0,0
66,270.74303555488586,0,1
2736,270.74436807632446,0,0
66,270.7443857192993,0,1
1406,270.744398355484,0,1
1401,270.7468988895416,0,0
1401,270.7472367286682,0,0
66,270.74725103378296,0,1
66,270.74805665016174,0,0
1094,270.7480845451355,0,1
2736,270.7493870258332,0,0
66,270.7495002746582,0,1
1401,270.75127506256104,0,0
1401,270.7515549659729,0,0
66,270.7515687942505,0,1
1401,270.75500559806824,0,0
87,270.7639689445496,0,0
66,270.76398396492004,0,1
1401,270.7705454826355,0,0
1401,270.77090096473694,0,0
66,270.77101945877075,0,1
292,270.78540444374084,0,0
1401,270.79019141197205,0,0
1401,270.7902920246124,0,0
66,270.7903771400452,0,1
1401,270.7905173301697,0,0
1401,270.7908253669739,0,0
66,270.7908658981323,0,1
1401,270.7910029888153,0,0
602,270.79120445251465,0,1
1401,270.802622795105,0,0
2736,270.80281949043274,0,0
66,270.8029236793518,0,1
1401,270.80507922172546,0,0
1401,270.80778908729553,0,0
66,270.807804107666,0,1
1401,270.8091149330139,0,0
1401,270.80943775177,0,0
66,270.8094744682312,0,1
2736,270.8125667572021,0,0
66,270.8126862049103,0,1
2736,270.8164553642273,0,0
66,270.8165156841278,0,1
602,270.81671810150146,0,1
1401,270.8220007419586,0,0
2736,270.82230257987976,0,0
66,270.8223912715912,0,1
1401,270.82255458831787,0,0
1401,270.82538771629333,0,0
66,270.8254027366638,0,1
1401,270.8258979320526,0,0
1401,270.8343632221222,0,0
66,270.8343937397003,0,1
1401,270.83459067344666,0,0
1401,270.83459067344666,0,0
66,270.8347191810608,0,1
1401,270.8352794647217,0,0
1401,270.8361277580261,0,0
66,270.8362009525299,0,1
1401,270.83639097213745,0,0
2736,270.8392333984375,0,0
602,270.8392906188965,0,1
1401,270.8425757884979,0,0
1401,270.842618227005,0,0
66,270.8426458835602,0,1
1401,270.8460841178894,0,0
1401,270.8489046096802,0,0
66,270.84893321990967,0,1
1401,270.8493399620056,0,0
1401,270.849555015564,0,0
66,270.84957337379456,0,1
1401,270.8524899482727,0,0
1401,270.8532032966614,0,0
66,270.8532283306122,0,1
1401,270.8562219142914,0,0
1401,270.8564131259918,0,0
66,270.85645818710327,0,1
2736,270.8601248264313,0,0
66,270.8603868484497,0,1
602,270.8606061935425,0,1
2736,270.8625645637512,0,0
66,270.86278676986694,0,1
1401,270.86471486091614,0,0
1401,270.86528062820435,0,0
66,270.865305185318,0,1
1401,270.86756467819214,0,0
1401,270.8684356212616,0,0
66,270.8684594631195,0,1
1401,270.8711178302765,0,0
1401,270.871217250824,0,0
66,270.8713057041168,0,1
2736,270.8764193058014,0,0
66,270.8765277862549,0,1
2736,270.8765432834625,0,0
66,270.8765983581543,0,1
1401,270.87930703163147,0,0
1401,270.8800430297852,0,0
66,270.88013982772827,0,1
1401,270.8824419975281,0,0
1401,270.8830153942108,0,0
66,270.88310980796814,0,1
1401,270.88580775260925,0,0
602,270.8859181404114,0,1
1401,270.8859374523163,0,0
1406,270.8882911205292,0,1
2736,270.88998770713806,0,0
66,270.89012026786804,0,1
1401,270.8922002315521,0,0
1401,270.89305567741394,0,0
66,270.89318346977234,0,1
1401,270.89518213272095,0,0
1401,270.89568996429443,0,0
66,270.8957479000092,0,1
2736,270.8983545303345,0,0
66,270.89850330352783,0,1
1401,270.9013228416443,0,0
1401,270.90169310569763,0,0
66,270.9017901420593,0,1
1401,270.9043929576874,0,0
1401,270.9047222137451,0,0
1401,270.9075243473053,0,0
1401,270.90782475471497,0,0
66,270.9091830253601,0,0
1362,270.9092252254486,0,1
1401,270.9111263751984,0,0
1401,270.9111623764038,0,0
66,270.91275119781494,0,1
2736,270.9138431549072,0,0
66,270.91397047042847,0,1
1401,270.91627526283264,0,0
1401,270.9167513847351,0,0
66,270.9167764186859,0,1
1401,270.9192767143249,0,0
1401,270.9195201396942,0,0
66,270.91954016685486,0,1
644,270.96646332740784,0,0
13416,270.966463804245,0,0
1138,270.9665198326111,0,1
2736,270.9666602611542,0,0
66,270.9667522907257,0,1
1401,270.9671585559845,0,0
1401,270.9671587944031,0,0
66,270.9671835899353,0,1
1401,270.9675612449646,0,0
1401,270.9837374687195,0,0
66,270.9838483333588,0,1
1401,270.9842219352722,0,0
1401,270.9850127696991,0,0
66,270.9850571155548,0,1
1220,270.9876158237457,0,0
1138,270.9876654148102,0,1
1401,270.9897038936615,0,0
66,270.9897348880768,0,1
1401,270.9902069568634,0,0
66,270.990268945694,0,1
292,270.99772477149963,0,0
66,270.99777126312256,0,1
1401,270.99917459487915,0,0
2736,271.0001997947693,0,0
66,271.0002613067627,0,1
1401,271.0068452358246,0,0
66,271.006876707077,0,1
1401,271.0071470737457,0,0
66,271.0071635246277,0,1
405,271.0085356235504,0,0
1401,271.01228761672974,0,0
66,271.01231265068054,0,1
1401,271.01573300361633,0,0
1401,271.0157334804535,0,0
66,271.0157995223999,0,1
2736,271.0162513256073,0,0
66,271.0163412094116,0,1
602,271.0165271759033,0,1
2736,271.0224316120148,0,0
66,271.0226764678955,0,1
2736,271.0292274951935,0,0
66,271.0293433666229,0,1
1401,271.0315537452698,0,0
1401,271.0315544605255,0,0
66,271.0316479206085,0,1
1401,271.032457113266,0,0
602,271.0337646007538,0,1
2736,271.03502368927,0,0
66,271.03537940979004,0,1
1401,271.0361542701721,0,0
1401,271.03871989250183,0,0
2736,271.038720369339,0,0
1401,271.0387206077576,0,0
66,271.038777589798,0,1
66,271.0390479564667,0,1
1309,271.0390717983246,0,0
66,271.0392916202545,0,1
2736,271.0424094200134,0,0
66,271.0425205230713,0,1
1401,271.04323863983154,0,0
2736,271.04368257522583,0,0
66,271.0439176559448,0,1
1401,271.04454469680786,0,0
66,271.04464077949524,0,1
1401,271.04633808135986,0,0
1401,271.04672288894653,0,0
66,271.04675912857056,0,1
2146,271.05084228515625,0,0
66,271.05096530914307,0,1
1401,271.0566461086273,0,0
2736,271.0570442676544,0,0
1401,271.057044506073,0,0
66,271.05710196495056,0,1
1401,271.0600633621216,0,0
1138,271.0601718425751,0,1
1401,271.0601885318756,0,0
1401,271.06177282333374,0,0
66,271.06180119514465,0,1
1401,271.06227445602417,0,0
1401,271.0639967918396,0,0
66,271.06402945518494,0,1
1401,271.06419014930725,0,0
2736,271.0665566921234,0,0
66,271.06672716140747,0,1
652,271.06879925727844,0,0
1401,271.0852766036988,0,0
66,271.08545994758606,0,1
602,271.0857512950897,0,1
1401,271.08725237846375,0,0
1401,271.0872526168823,0,0
66,271.08739376068115,0,1
2736,271.09936594963074,0,0
66,271.09947633743286,0,1
1401,271.1000392436981,0,0
1401,271.10027837753296,0,0
66,271.1002883911133,0,1
2736,271.1034233570099,0,0
66,271.10349702835083,0,1
1401,271.10578203201294,0,0
1401,271.10612177848816,0,0
66,271.10625433921814,0,1
1401,271.1095838546753,0,0
1401,271.1096224784851,0,0
66,271.10968255996704,0,1
1401,271.11191987991333,0,0
179,271.1119749546051,0,0
66,271.11199021339417,0,1
2736,271.11244082450867,0,0
66,271.1126480102539,0,1
602,271.1129593849182,0,1
2736,271.11524200439453,0,0
66,271.11534094810486,0,1
1401,271.1178369522095,0,0
1401,271.1181607246399,0,0
66,271.1181728839874,0,1
1401,271.1186053752899,0,0
1401,271.12031078338623,0,0
66,271.12038373947144,0,1
1401,271.12058448791504,0,0
1401,271.1208305358887,0,0
66,271.1208357810974,0,1
1401,271.1233229637146,0,0
1401,271.12508821487427,0,0
66,271.1251051425934,0,1
1401,271.12669253349304,0,0
1401,271.126873254776,0,0
66,271.1268801689148,0,1
1401,271.12926626205444,0,0
1401,271.1324653625488,0,0
1401,271.132465839386,0,0
66,271.132493019104,0,1
1401,271.1330535411835,0,0
66,271.13309955596924,0,1
292,271.13345217704773,0,0
1401,271.1353762149811,0,0
602,271.13543343544006,0,1
1401,271.1356794834137,0,0
1401,271.1386306285858,0,0
66,271.13864636421204,0,1
1401,271.1389534473419,0,0
1401,271.1412217617035,0,0
66,271.1412363052368,0,1
1401,271.141970872879,0,0
1401,271.14430236816406,0,0
66,271.1443340778351,0,1
1401,271.1449534893036,0,0
1401,271.14739322662354,0,0
66,271.1474304199219,0,1
1401,271.1479480266571,0,0
1401,271.1509699821472,0,0
66,271.15108346939087,0,1
1401,271.1510989665985,0,0
2736,271.1535093784332,0,0
66,271.1536636352539,0,1
1401,271.1544723510742,0,0
66,271.15455985069275,0,1
2736,271.1566505432129,0,0
66,271.156769990921,0,1
1401,271.1589605808258,0,0
602,271.1590392589569,0,1
1401,271.15943813323975,0,0
2736,271.1620011329651,0,0
66,271.162223815918,0,1
1401,271.164847612381,0,0
1401,271.16528153419495,0,0
66,271.1653201580048,0,1
1401,271.16845655441284,0,0
1401,271.1707499027252,0,0
1401,271.1707503795624,0,0
66,271.1708281040192,0,1
1401,271.17266511917114,0,0
66,271.17275404930115,0,1
1401,271.17277240753174,0,0
2736,271.17432379722595,0,0
66,271.1744701862335,0,1
715,271.1765615940094,0,0
292,271.1815347671509,0,0
1401,271.1815357208252,0,0
66,271.18164587020874,0,1
66,271.1818859577179,0,1
1401,271.1907608509064,0,0
1406,271.1985909938812,0,1
179,271.20161652565,0,0
179,271.2016167640686,0,0
66,271.2016746997833,0,1
334,271.2016921043396,0,1
1401,271.2040936946869,0,0
1401,271.2050211429596,0,0
66,271.2051293849945,0,1
1401,271.20516705513,0,0
1401,271.207978963852,0,0
66,271.2081446647644,0,1
1401,271.209016084671,0,0
1401,271.20933747291565,0,0
66,271.20938754081726,0,1
1401,271.2098581790924,0,0
1401,271.2116940021515,0,0
66,271.2117576599121,0,1
1401,271.21208357810974,0,0
441,271.21879053115845,0,0
602,271.21885800361633,0,1
2736,271.22453451156616,0,0
66,271.22471618652344,0,1
2736,271.2251513004303,0,0
66,271.22520637512207,0,1
1401,271.2255127429962,0,0
1401,271.2262773513794,0,0
66,271.22629737854004,0,1
1401,271.22784543037415,0,0
1401,271.2283797264099,0,0
66,271.2283983230591,0,1
2736,271.23085165023804,0,0
66,271.230966091156,0,1
1401,271.2329516410828,0,0
1401,271.2332253456116,0,0
66,271.2332479953766,0,1
2736,271.23646235466003,0,0
66,271.23653507232666,0,1
1401,271.2370545864105,0,0
313,271.2382085323334,0,0
602,271.2382423877716,0,1
1401,271.2539930343628,0,0
1401,271.25438714027405,0,0
66,271.2544376850128,0,1
1401,271.25470423698425,0,0
405,271.26631140708923,0,0
66,271.2663416862488,0,1
2736,271.27325987815857,0,0
66,271.2733325958252,0,1
1401,271.2743213176728,0,0
405,271.2828884124756,0,0
66,271.2829055786133,0,1
2736,271.2880246639252,0,0
1401,271.2880251407624,0,0
66,271.2882192134857,0,1
602,271.2884488105774,0,1
405,271.3120789527893,0,0
1401,271.31227374076843,0,0
66,271.3123679161072,0,1
2736,271.31709909439087,0,0
66,271.31745409965515,0,1
2736,271.32158517837524,0,0
66,271.3217158317566,0,1
1401,271.3225758075714,0,0
1401,271.32459330558777,0,0
1401,271.32459330558777,0,0
66,271.3246302604676,0,1
602,271.32488203048706,0,1
970,271.3353888988495,0,0
2736,271.35549879074097,0,0
1401,271.35586977005005,0,0
1401,271.3558957576752,0,0
66,271.3559453487396,0,1
1401,271.35848808288574,0,0
1401,271.3586075305939,0,0
66,271.358656167984,0,1
1401,271.3699862957001,0,0
1401,271.37029504776,0,0
66,271.37034487724304,0,1
1401,271.37103724479675,0,0
2736,271.37298917770386,0,0
66,271.3732125759125,0,1
1401,271.37470626831055,0,0
1401,271.37516951560974,0,0
66,271.3752760887146,0,1
1401,271.3768332004547,0,0
1401,271.3769574165344,0,0
66,271.3770909309387,0,1
602,271.3774299621582,0,1
313,271.38296699523926,0,0
1401,271.3862307071686,0,0
1401,271.3863079547882,0,0
66,271.38645029067993,0,1
1401,271.3867259025574,0,0
1401,271.3882825374603,0,0
66,271.38830280303955,0,1
518,271.4090962409973,0,0
1401,271.41999197006226,0,0
66,271.4200847148895,0,1
1401,271.42009973526,0,0
2736,271.4204609394073,0,0
66,271.42058420181274,0,1
602,271.420716047287,0,1
1401,271.42217659950256,0,0
1401,271.42249846458435,0,0
66,271.4225990772248,0,1
1401,271.42567443847656,0,0
1401,271.42620158195496,0,0
66,271.42638325691223,0,1
2736,271.4272930622101,0,0
66,271.42748951911926,0,1
1401,271.43382024765015,0,0
2736,271.4344222545624,0,0
